Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;0;0;0.1586654;0.04854216
Simu_M005_NbAct100_lift;0;0;0.1586654;0.04854216
Simu_M005_NbAct100_lift;0;0;0.1586654;0.04854216
Simu_M005_NbAct100_lift;1;0;0.1586654;0.04854216
Simu_M005_NbAct100_lift;1;20;0.1586654;0.04854216
Simu_M005_NbAct100_lift;1;40;0.1586654;0.04854216
Simu_M005_NbAct100_lift;0;0;0.1586654;0.04854216
Simu_M005_NbAct100_lift;0;0;0.1586963;0.04853495
Simu_M005_NbAct100_lift;1;0;0.1586963;0.04853495
Simu_M005_NbAct100_lift;1;20;0.149494;0.05153237
Simu_M005_NbAct100_lift;1;40;0.146495;0.04229292
Simu_M005_NbAct100_lift;1;60;0.1428452;0.03135464
Simu_M005_NbAct100_lift;1;80;0.1399015;0.01934817
Simu_M005_NbAct100_lift;1;100;0.1388393;0.007628971
Simu_M005_NbAct100_lift;1;120;0.1398479;-0.002007513
Simu_M005_NbAct100_lift;1;140;0.1422951;-0.00786721
Simu_M005_NbAct100_lift;1;160;0.1450021;-0.008641772
Simu_M005_NbAct100_lift;1;180;0.1464076;-0.003532794
Simu_M005_NbAct100_lift;1;200;0.146364;0.006616523
Simu_M005_NbAct100_lift;1;220;0.1455736;0.02022118
Simu_M005_NbAct100_lift;1;240;0.1447416;0.0354699
Simu_M005_NbAct100_lift;1;260;0.1444983;0.04999929
Simu_M005_NbAct100_lift;1;280;0.144535;0.06167343
Simu_M005_NbAct100_lift;1;300;0.1444876;0.06854405
Simu_M005_NbAct100_lift;1;320;0.1439037;0.06965049
Simu_M005_NbAct100_lift;1;340;0.1426515;0.06498609
Simu_M005_NbAct100_lift;1;360;0.1407825;0.05573284
Simu_M005_NbAct100_lift;1;380;0.1390612;0.04321391
Simu_M005_NbAct100_lift;1;400;0.1382622;0.02938597
Simu_M005_NbAct100_lift;1;420;0.1387433;0.01643754
Simu_M005_NbAct100_lift;1;440;0.1404347;0.00639772
Simu_M005_NbAct100_lift;1;460;0.1427552;0.0007645162
Simu_M005_NbAct100_lift;1;480;0.1447936;0.0004305816
Simu_M005_NbAct100_lift;1;500;0.1455742;0.005408922
Simu_M005_NbAct100_lift;1;520;0.1452912;0.01457834
Simu_M005_NbAct100_lift;1;540;0.1445731;0.02631791
Simu_M005_NbAct100_lift;1;560;0.1438679;0.03892262
Simu_M005_NbAct100_lift;1;580;0.143462;0.05042447
Simu_M005_NbAct100_lift;1;600;0.1431941;0.05910727
Simu_M005_NbAct100_lift;1;620;0.1427999;0.06351779
Simu_M005_NbAct100_lift;1;640;0.1420871;0.06306694
Simu_M005_NbAct100_lift;1;660;0.1408287;0.05803669
Simu_M005_NbAct100_lift;1;680;0.1392964;0.04925369
Simu_M005_NbAct100_lift;1;700;0.1380809;0.03798434
Simu_M005_NbAct100_lift;1;720;0.1377151;0.02589149
Simu_M005_NbAct100_lift;1;740;0.1384574;0.0148525
Simu_M005_NbAct100_lift;1;760;0.1401246;0.006584588
Simu_M005_NbAct100_lift;1;780;0.1421618;0.002327613
Simu_M005_NbAct100_lift;1;800;0.1437552;0.002874746
Simu_M005_NbAct100_lift;1;820;0.1442316;0.008054692
Simu_M005_NbAct100_lift;1;840;0.1439292;0.01685984
Simu_M005_NbAct100_lift;1;860;0.1432827;0.02790345
Simu_M005_NbAct100_lift;1;880;0.1426678;0.03959787
Simu_M005_NbAct100_lift;1;900;0.1422741;0.05012598
Simu_M005_NbAct100_lift;1;920;0.141991;0.0579418
Simu_M005_NbAct100_lift;1;940;0.1416593;0.06164555
Simu_M005_NbAct100_lift;1;960;0.1410147;0.06085616
Simu_M005_NbAct100_lift;1;980;0.1398525;0.05573109
Simu_M005_NbAct100_lift;1;1000;0.1385289;0.04713179
Simu_M005_NbAct100_lift;1;1020;0.1375533;0.03626776
Simu_M005_NbAct100_lift;1;1040;0.1373958;0.02476166
Simu_M005_NbAct100_lift;1;1060;0.1382765;0.01441399
Simu_M005_NbAct100_lift;1;1080;0.1399864;0.006819299
Simu_M005_NbAct100_lift;1;1100;0.1419619;0.003150809
Simu_M005_NbAct100_lift;1;1120;0.1433697;0.004099285
Simu_M005_NbAct100_lift;1;1140;0.1437431;0.009518486
