"tvel-rfile"
"Time Step" "tvel etc.."
("Time Step" "tvel(t1)" "tvel(t2)" "flow-time")
5081 0 0 5.081
5082 0 0 5.082
5083 0.0306021 0 5.083
5084 0.05929156 0 5.084
5085 0.08618794 0 5.085
5086 0.1114033 0 5.085999
5087 0.1350427 0 5.086999
5088 0.1572046 0 5.087999
5089 0.1779814 0 5.088999
5090 0.1974597 0 5.089999
5091 0.2157205 0 5.090999
5092 0.2328401 0 5.091999
5093 0.2488897 0 5.092999
5094 0.2639362 0 5.093999
5095 0.2780423 0 5.094999
5096 0.2912667 0 5.095999
5097 0.3036647 0 5.096999
5098 0.3152877 0 5.097999
5099 0.3261843 0 5.098999
5100 0.3363999 0 5.099998
5101 0.345977 0 5.100998
5102 0.3549556 0 5.101998
5103 0.3641462 0 5.102998
5104 0.3727624 0 5.103998
5105 0.38084 0 5.104998
5106 0.3884129 0 5.105998
5107 0.3955124 0 5.106998
5108 0.4021682 0 5.107998
5109 0.408408 0 5.108998
5110 0.4142579 0 5.109998
5111 0.4197421 0 5.110998
5112 0.4248836 0 5.111998
5113 0.4297037 0 5.112998
5114 0.4342225 0 5.113997
5115 0.4384589 0 5.114997
5116 0.4424306 0 5.115997
5117 0.4461541 0 5.116997
5118 0.4496447 0 5.117997
5119 0.4529173 0 5.118997
5120 0.4559853 0 5.119997
5121 0.4588615 0 5.120997
5122 0.461558 0 5.121997
5123 0.4645264 0 5.122997
5124 0.4673092 0 5.123997
5125 0.469918 0 5.124997
5126 0.4723639 0 5.125997
5127 0.4746568 0 5.126997
5128 0.4768065 0 5.127996
5129 0.4788218 0 5.128996
5130 0.4807111 0 5.129996
5131 0.4824824 0 5.130996
5132 0.4841429 0 5.131996
5133 0.4856997 0 5.132996
5134 0.4871592 0 5.133996
5135 0.4885274 0 5.134996
5136 0.4898102 0 5.135996
5137 0.4910127 0 5.136996
5138 0.4921401 0 5.137996
5139 0.4931971 0 5.138996
5140 0.494188 0 5.139996
5141 0.4951169 0 5.140996
5142 0.4959878 0 5.141995
5143 0.4966639 0 5.142995
5144 0.4972977 0 5.143995
5145 0.4978919 0 5.144995
5146 0.4984489 0 5.145995
5147 0.4989712 0 5.146995
5148 0.4994608 0 5.147995
5149 0.4999198 0 5.148995
5150 0.5003501 0 5.149995
5151 0.5007535 0 5.150995
5152 0.5011318 0 5.151995
5153 0.5014863 0 5.152995
5154 0.5018187 0 5.153995
5155 0.5021303 0 5.154994
5156 0.5024225 0 5.155994
5157 0.5026964 0 5.156994
5158 0.5029532 0 5.157994
5159 0.5031939 0 5.158994
5160 0.5034196 0 5.159994
5161 0.5036312 0 5.160994
5162 0.5038295 0 5.161994
5163 0.50305 0 5.162994
5164 0.5023191 0 5.163994
5165 0.5016339 0 5.164994
5166 0.5009915 0 5.165994
5167 0.5003893 0 5.166994
5168 0.4998247 0 5.167994
5169 0.4992954 0 5.168993
5170 0.4987992 0 5.169993
5171 0.4983341 0 5.170993
5172 0.4978979 0 5.171993
5173 0.497489 0 5.172993
5174 0.4971057 0 5.173993
5175 0.4967464 0 5.174993
5176 0.4964095 0 5.175993
5177 0.4960936 0 5.176993
5178 0.4957975 0 5.177993
5179 0.4955199 0 5.178993
5180 0.4952597 0 5.179993
5181 0.4950157 0 5.180993
5182 0.494787 0 5.181993
5183 0.4927579 0 5.182992
