"tvelmax-rfile"
"Time Step" "tvelmax etc.."
("Time Step" "tvelmax(t1)" "tvelmax(t2)" "flow-time")
5081 0 0 5.081
5082 0 0 5.082
5083 0.04327887 0 5.083
5084 0.0838528 0 5.084
5085 0.1218909 0 5.085
5086 0.1575516 0 5.085999
5087 0.1909835 0 5.086999
5088 0.2223258 0 5.087999
5089 0.2517094 0 5.088999
5090 0.2792564 0 5.089999
5091 0.3050817 0 5.090999
5092 0.329293 0 5.091999
5093 0.3519911 0 5.092999
5094 0.3732705 0 5.093999
5095 0.3932199 0 5.094999
5096 0.4119225 0 5.095999
5097 0.4294562 0 5.096999
5098 0.4458941 0 5.097999
5099 0.4613046 0 5.098999
5100 0.4757519 0 5.099998
5101 0.4892963 0 5.100998
5102 0.5019941 0 5.101998
5103 0.5149919 0 5.102998
5104 0.5271773 0 5.103998
5105 0.5386012 0 5.104998
5106 0.549311 0 5.105998
5107 0.5593515 0 5.106998
5108 0.5687644 0 5.107998
5109 0.5775891 0 5.108998
5110 0.5858622 0 5.109998
5111 0.5936182 0 5.110998
5112 0.6008895 0 5.111998
5113 0.6077063 0 5.112998
5114 0.6140971 0 5.113997
5115 0.6200885 0 5.114997
5116 0.6257054 0 5.115997
5117 0.6309712 0 5.116997
5118 0.6359079 0 5.117997
5119 0.6405361 0 5.118997
5120 0.644875 0 5.119997
5121 0.6489427 0 5.120997
5122 0.6527562 0 5.121997
5123 0.6569542 0 5.122997
5124 0.6608897 0 5.123997
5125 0.6645793 0 5.124997
5126 0.6680383 0 5.125997
5127 0.6712812 0 5.126997
5128 0.6743212 0 5.127996
5129 0.6771714 0 5.128996
5130 0.6798433 0 5.129996
5131 0.6823483 0 5.130996
5132 0.6846968 0 5.131996
5133 0.6868984 0 5.132996
5134 0.6889625 0 5.133996
5135 0.6908975 0 5.134996
5136 0.6927117 0 5.135996
5137 0.6944124 0 5.136996
5138 0.6960068 0 5.137996
5139 0.6975016 0 5.138996
5140 0.6989029 0 5.139996
5141 0.7002167 0 5.140996
5142 0.7014483 0 5.141995
5143 0.7024044 0 5.142995
5144 0.7033008 0 5.143995
5145 0.7041411 0 5.144995
5146 0.704929 0 5.145995
5147 0.7056676 0 5.146995
5148 0.70636 0 5.147995
5149 0.7070092 0 5.148995
5150 0.7076177 0 5.149995
5151 0.7081882 0 5.150995
5152 0.7087231 0 5.151995
5153 0.7092246 0 5.152995
5154 0.7096946 0 5.153995
5155 0.7101354 0 5.154994
5156 0.7105486 0 5.155994
5157 0.7109359 0 5.156994
5158 0.7112991 0 5.157994
5159 0.7116395 0 5.158994
5160 0.7119587 0 5.159994
5161 0.712258 0 5.160994
5162 0.7125385 0 5.161994
5163 0.7114359 0 5.162994
5164 0.7104023 0 5.163994
5165 0.7094333 0 5.164994
5166 0.7085248 0 5.165994
5167 0.7076731 0 5.166994
5168 0.7068747 0 5.167994
5169 0.7061261 0 5.168993
5170 0.7054243 0 5.169993
5171 0.7047665 0 5.170993
5172 0.7041497 0 5.171993
5173 0.7035714 0 5.172993
5174 0.7030294 0 5.173993
5175 0.7025211 0 5.174993
5176 0.7020447 0 5.175993
5177 0.701598 0 5.176993
5178 0.7011793 0 5.177993
5179 0.7007867 0 5.178993
5180 0.7004187 0 5.179993
5181 0.7000736 0 5.180993
5182 0.6997501 0 5.181993
5183 0.6968805 0 5.182992
5184 0.6941903 0 5.183992
5185 0.6916682 0 5.184992
5186 0.6893039 0 5.185992
5187 0.6870872 0 5.186992
5188 0.6850091 0 5.187992
5189 0.6830608 0 5.188992
5190 0.6812344 0 5.189992
5191 0.679522 0 5.190992
5192 0.6779168 0 5.191992
5193 0.6764118 0 5.192992
5194 0.6750009 0 5.193992
5195 0.6736781 0 5.194992
5196 0.6724381 0 5.195992
5197 0.6712756 0 5.196991
5198 0.6701857 0 5.197991
5199 0.6691639 0 5.198991
5200 0.668206 0 5.199991
5201 0.667308 0 5.200991
5202 0.6664661 0 5.201991
5203 0.661693 0 5.202991
5204 0.6572183 0 5.203991
5205 0.6530232 0 5.204991
5206 0.6490903 0 5.205991
5207 0.6454033 0 5.206991
5208 0.6419467 0 5.207991
5209 0.6387061 0 5.208991
5210 0.635668 0 5.209991
5211 0.6328199 0 5.21099
5212 0.6301497 0 5.21199
5213 0.6276464 0 5.21299
5214 0.6252996 0 5.21399
5215 0.6230995 0 5.21499
5216 0.6210369 0 5.21599
5217 0.6191032 0 5.21699
5218 0.6172903 0 5.21799
5219 0.6155908 0 5.21899
5220 0.6139973 0 5.21999
5221 0.6125036 0 5.22099
5222 0.6111033 0 5.22199
5223 0.6054834 0 5.22299
5224 0.6002148 0 5.223989
5225 0.5952755 0 5.224989
5226 0.5906449 0 5.225989
5227 0.5863037 0 5.226989
5228 0.5822337 0 5.227989
5229 0.5784183 0 5.228989
5230 0.5748413 0 5.229989
5231 0.5714878 0 5.230989
5232 0.5683439 0 5.231989
5233 0.5653964 0 5.232989
5234 0.5626333 0 5.233989
5235 0.5600429 0 5.234989
5236 0.5576142 0 5.235989
5237 0.5553375 0 5.236989
5238 0.553203 0 5.237988
5239 0.5512019 0 5.238988
5240 0.5493259 0 5.239988
5241 0.5475671 0 5.240988
5242 0.5459182 0 5.241988
5243 0.5435309 0 5.242988
5244 0.5412927 0 5.243988
5245 0.5391943 0 5.244988
5246 0.5372272 0 5.245988
5247 0.535383 0 5.246988
5248 0.533654 0 5.247988
5249 0.5320331 0 5.248988
5250 0.5305135 0 5.249988
5251 0.5290889 0 5.250988
5252 0.5277533 0 5.251987
5253 0.5265012 0 5.252987
5254 0.5253273 0 5.253987
5255 0.5242268 0 5.254987
5256 0.5231951 0 5.255987
5257 0.5222279 0 5.256987
5258 0.5213212 0 5.257987
5259 0.5204711 0 5.258987
5260 0.5196741 0 5.259987
5261 0.518927 0 5.260987
5262 0.5182265 0 5.261987
5263 0.5195022 0 5.262987
5264 0.5206981 0 5.263987
5265 0.5218193 0 5.264987
5266 0.5228705 0 5.265986
5267 0.5238559 0 5.266986
5268 0.5247799 0 5.267986
5269 0.5256459 0 5.268986
5270 0.5264579 0 5.269986
5271 0.5272191 0 5.270986
5272 0.5279328 0 5.271986
5273 0.5286018 0 5.272986
