"tvelx-rfile"
"Time Step" "tvelx etc.."
("Time Step" "tvelx(t1)" "tvelx(t2)" "flow-time")
5081 0 0 5.081
5082 0 0 5.082
5083 -8.731149e-10 0 5.083
5084 -1.74623e-09 0 5.084
5085 -2.502929e-09 0 5.085
5086 -3.259629e-09 0 5.085999
5087 -3.958121e-09 0 5.086999
5088 -4.423782e-09 0 5.087999
5089 -5.122274e-09 0 5.088999
5090 -5.587935e-09 0 5.089999
5091 -6.170012e-09 0 5.090999
5092 -6.752089e-09 0 5.091999
5093 -6.984919e-09 0 5.092999
5094 -7.683411e-09 0 5.093999
5095 -8.149073e-09 0 5.094999
5096 -8.614734e-09 0 5.095999
5097 -8.847564e-09 0 5.096999
5098 -8.847564e-09 0 5.097999
5099 -9.546056e-09 0 5.098999
5100 -9.778887e-09 0 5.099998
5101 -9.778887e-09 0 5.100998
5102 -1.071021e-08 0 5.101998
5103 -1.024455e-08 0 5.102998
5104 -1.071021e-08 0 5.103998
5105 -1.071021e-08 0 5.104998
5106 -1.094304e-08 0 5.105998
5107 -1.14087e-08 0 5.106998
5108 -1.117587e-08 0 5.107998
5109 -1.164153e-08 0 5.108998
5110 -1.187436e-08 0 5.109998
5111 -1.234002e-08 0 5.110998
5112 -1.187436e-08 0 5.111998
5113 -1.234002e-08 0 5.112998
5114 -1.234002e-08 0 5.113997
5115 -1.280569e-08 0 5.114997
5116 -1.234002e-08 0 5.115997
5117 -1.327135e-08 0 5.116997
5118 -1.280569e-08 0 5.117997
5119 -1.257285e-08 0 5.118997
5120 -1.303852e-08 0 5.119997
5121 -1.303852e-08 0 5.120997
5122 -1.350418e-08 0 5.121997
5123 -1.280569e-08 0 5.122997
5124 -1.327135e-08 0 5.123997
5125 -1.327135e-08 0 5.124997
5126 -1.373701e-08 0 5.125997
5127 -1.327135e-08 0 5.126997
5128 -1.303852e-08 0 5.127996
5129 -1.373701e-08 0 5.128996
5130 -1.373701e-08 0 5.129996
5131 -1.420267e-08 0 5.130996
5132 -1.44355e-08 0 5.131996
5133 -1.420267e-08 0 5.132996
5134 -1.396984e-08 0 5.133996
5135 -1.420267e-08 0 5.134996
5136 -1.466833e-08 0 5.135996
5137 -1.350418e-08 0 5.136996
5138 -1.373701e-08 0 5.137996
5139 -1.396984e-08 0 5.138996
5140 -1.350418e-08 0 5.139996
5141 -1.396984e-08 0 5.140996
5142 -1.420267e-08 0 5.141995
5143 -1.420267e-08 0 5.142995
5144 -1.396984e-08 0 5.143995
5145 -1.466833e-08 0 5.144995
5146 -1.44355e-08 0 5.145995
5147 -1.420267e-08 0 5.146995
5148 -1.513399e-08 0 5.147995
5149 -1.396984e-08 0 5.148995
5150 -1.466833e-08 0 5.149995
5151 -1.396984e-08 0 5.150995
5152 -1.420267e-08 0 5.151995
5153 -1.420267e-08 0 5.152995
5154 -1.466833e-08 0 5.153995
5155 -1.396984e-08 0 5.154994
5156 -1.420267e-08 0 5.155994
5157 -1.466833e-08 0 5.156994
5158 -1.420267e-08 0 5.157994
5159 -1.466833e-08 0 5.158994
5160 -1.466833e-08 0 5.159994
5161 -1.466833e-08 0 5.160994
5162 -1.396984e-08 0 5.161994
5163 -1.396984e-08 0 5.162994
5164 -1.466833e-08 0 5.163994
5165 -1.420267e-08 0 5.164994
5166 -1.44355e-08 0 5.165994
5167 -1.420267e-08 0 5.166994
5168 -1.396984e-08 0 5.167994
5169 -1.513399e-08 0 5.168993
5170 -1.44355e-08 0 5.169993
5171 -1.44355e-08 0 5.170993
5172 -1.396984e-08 0 5.171993
5173 -1.466833e-08 0 5.172993
5174 -1.466833e-08 0 5.173993
5175 -1.420267e-08 0 5.174993
5176 -1.44355e-08 0 5.175993
5177 -1.396984e-08 0 5.176993
5178 -1.513399e-08 0 5.177993
5179 -1.420267e-08 0 5.178993
5180 -1.420267e-08 0 5.179993
5181 -1.420267e-08 0 5.180993
5182 -1.44355e-08 0 5.181993
5183 -1.396984e-08 0 5.182992
5184 -1.466833e-08 0 5.183992
5185 -1.44355e-08 0 5.184992
5186 -1.396984e-08 0 5.185992
5187 -1.327135e-08 0 5.186992
5188 -1.373701e-08 0 5.187992
5189 -1.373701e-08 0 5.188992
5190 -1.396984e-08 0 5.189992
5191 -1.396984e-08 0 5.190992
5192 -1.396984e-08 0 5.191992
5193 -1.420267e-08 0 5.192992
5194 -1.396984e-08 0 5.193992
5195 -1.327135e-08 0 5.194992
5196 -1.420267e-08 0 5.195992
5197 -1.396984e-08 0 5.196991
5198 -1.303852e-08 0 5.197991
5199 -1.327135e-08 0 5.198991
5200 -1.327135e-08 0 5.199991
5201 -1.373701e-08 0 5.200991
5202 -1.396984e-08 0 5.201991
5203 -1.350418e-08 0 5.202991
5204 -1.350418e-08 0 5.203991
5205 -1.350418e-08 0 5.204991
5206 -1.350418e-08 0 5.205991
5207 -1.280569e-08 0 5.206991
5208 -1.327135e-08 0 5.207991
5209 -1.303852e-08 0 5.208991
5210 -1.257285e-08 0 5.209991
5211 -1.280569e-08 0 5.21099
5212 -1.234002e-08 0 5.21199
5213 -1.234002e-08 0 5.21299
