"tvely-rfile"
"Time Step" "tvely etc.."
("Time Step" "tvely(t1)" "tvely(t2)" "flow-time")
5081 0 0 5.081
5082 0 0 5.082
5083 -0.03057776 0 5.083
5084 -0.0592444 0 5.084
5085 -0.08611938 0 5.085
5086 -0.1113147 0 5.085999
5087 -0.1349353 0 5.086999
5088 -0.1570796 0 5.087999
5089 -0.1778399 0 5.088999
5090 -0.1973026 0 5.089999
5091 -0.215549 0 5.090999
5092 -0.2326549 0 5.091999
5093 -0.2486917 0 5.092999
5094 -0.2637262 0 5.093999
5095 -0.2778211 0 5.094999
5096 -0.2910351 0 5.095999
5097 -0.3034231 0 5.096999
5098 -0.3150369 0 5.097999
5099 -0.3259249 0 5.098999
5100 -0.3361323 0 5.099998
5101 -0.3457018 0 5.100998
5102 -0.3546732 0 5.101998
5103 -0.3638565 0 5.102998
5104 -0.3724658 0 5.103998
5105 -0.3805371 0 5.104998
5106 -0.388104 0 5.105998
5107 -0.3951978 0 5.106998
5108 -0.4018483 0 5.107998
5109 -0.4080832 0 5.108998
5110 -0.4139284 0 5.109998
5111 -0.4194083 0 5.110998
5112 -0.4245456 0 5.111998
5113 -0.4293619 0 5.112998
5114 -0.4338771 0 5.113997
5115 -0.4381102 0 5.114997
5116 -0.4420787 0 5.115997
5117 -0.4457992 0 5.116997
5118 -0.4492871 0 5.117997
5119 -0.452557 0 5.118997
5120 -0.4556226 0 5.119997
5121 -0.4584966 0 5.120997
5122 -0.4611909 0 5.121997
5123 -0.4641569 0 5.122997
5124 -0.4669375 0 5.123997
5125 -0.4695443 0 5.124997
5126 -0.4719881 0 5.125997
5127 -0.4742793 0 5.126997
5128 -0.4764272 0 5.127996
5129 -0.4784409 0 5.128996
5130 -0.4803287 0 5.129996
5131 -0.4820986 0 5.130996
5132 -0.4837579 0 5.131996
5133 -0.4853134 0 5.132996
5134 -0.4867717 0 5.133996
5135 -0.4881388 0 5.134996
5136 -0.4894206 0 5.135996
5137 -0.4906222 0 5.136996
5138 -0.4917487 0 5.137996
5139 -0.4928048 0 5.138996
5140 -0.4937949 0 5.139996
5141 -0.4947231 0 5.140996
5142 -0.4955933 0 5.141995
5143 -0.4962688 0 5.142995
5144 -0.4969021 0 5.143995
5145 -0.4974959 0 5.144995
5146 -0.4980525 0 5.145995
5147 -0.4985743 0 5.146995
5148 -0.4990636 0 5.147995
5149 -0.4995222 0 5.148995
5150 -0.4999521 0 5.149995
5151 -0.5003552 0 5.150995
5152 -0.5007331 0 5.151995
5153 -0.5010874 0 5.152995
5154 -0.5014195 0 5.153995
5155 -0.501731 0 5.154994
5156 -0.5020229 0 5.155994
5157 -0.5022966 0 5.156994
5158 -0.5025532 0 5.157994
5159 -0.5027937 0 5.158994
5160 -0.5030192 0 5.159994
5161 -0.5032306 0 5.160994
5162 -0.5034288 0 5.161994
5163 -0.5026498 0 5.162994
5164 -0.5019195 0 5.163994
5165 -0.5012349 0 5.164994
5166 -0.500593 0 5.165994
5167 -0.4999913 0 5.166994
5168 -0.4994272 0 5.167994
5169 -0.4988983 0 5.168993
5170 -0.4984025 0 5.169993
5171 -0.4979376 0 5.170993
5172 -0.4975019 0 5.171993
5173 -0.4970933 0 5.172993
5174 -0.4967103 0 5.173993
5175 -0.4963512 0 5.174993
5176 -0.4960146 0 5.175993
5177 -0.495699 0 5.176993
5178 -0.4954032 0 5.177993
5179 -0.4951258 0 5.178993
5180 -0.4948658 0 5.179993
5181 -0.494622 0 5.180993
5182 -0.4943935 0 5.181993
5183 -0.492366 0 5.182992
5184 -0.4904653 0 5.183992
5185 -0.4886834 0 5.184992
5186 -0.4870129 0 5.185992
5187 -0.4854467 0 5.186992
5188 -0.4839785 0 5.187992
5189 -0.482602 0 5.188992
5190 -0.4813116 0 5.189992
5191 -0.4801018 0 5.190992
5192 -0.4789675 0 5.191992
5193 -0.4779043 0 5.192992
5194 -0.4769074 0 5.193992
5195 -0.4759729 0 5.194992
5196 -0.4750967 0 5.195992
5197 -0.4742754 0 5.196991
5198 -0.4735053 0 5.197991
5199 -0.4727834 0 5.198991
5200 -0.4721066 0 5.199991
5201 -0.4714721 0 5.200991
5202 -0.4708773 0 5.201991
5203 -0.467505 0 5.202991
5204 -0.4643435 0 5.203991
5205 -0.4613796 0 5.204991
5206 -0.4586009 0 5.205991
5207 -0.4559959 0 5.206991
5208 -0.4535537 0 5.207991
5209 -0.4512641 0 5.208991
5210 -0.4491176 0 5.209991
5211 -0.4471053 0 5.21099
5212 -0.4452188 0 5.21199
5213 -0.4434502 0 5.21299
5214 -0.441792 0 5.21399
5215 -0.4402376 0 5.21499
5216 -0.4387803 0 5.21599
5217 -0.4374141 0 5.21699
5218 -0.4361332 0 5.21799
5219 -0.4349324 0 5.21899
5220 -0.4338067 0 5.21999
5221 -0.4327513 0 5.22099
5222 -0.4317619 0 5.22199
5223 -0.4277913 0 5.22299
5224 -0.4240689 0 5.223989
5225 -0.4205791 0 5.224989
5226 -0.4173075 0 5.225989
5227 -0.4142403 0 5.226989
5228 -0.4113648 0 5.227989
5229 -0.408669 0 5.228989
5230 -0.4061418 0 5.229989
5231 -0.4037724 0 5.230989
5232 -0.4015512 0 5.231989
5233 -0.3994688 0 5.232989
5234 -0.3975165 0 5.233989
5235 -0.3956863 0 5.234989
5236 -0.3939704 0 5.235989
5237 -0.3923618 0 5.236989
5238 -0.3908537 0 5.237988
5239 -0.3894399 0 5.238988
5240 -0.3881145 0 5.239988
5241 -0.3868718 0 5.240988
5242 -0.3857069 0 5.241988
5243 -0.3840201 0 5.242988
5244 -0.3824387 0 5.243988
5245 -0.3809562 0 5.244988
5246 -0.3795663 0 5.245988
5247 -0.3782634 0 5.246988
5248 -0.3770418 0 5.247988
5249 -0.3758966 0 5.248988
5250 -0.374823 0 5.249988
5251 -0.3738164 0 5.250988
5252 -0.3728728 0 5.251987
5253 -0.3719881 0 5.252987
5254 -0.3711588 0 5.253987
5255 -0.3703812 0 5.254987
5256 -0.3696523 0 5.255987
5257 -0.368969 0 5.256987
5258 -0.3683283 0 5.257987
5259 -0.3677277 0 5.258987
5260 -0.3671646 0 5.259987
5261 -0.3666367 0 5.260987
5262 -0.3661418 0 5.261987
5263 -0.3670431 0 5.262987
5264 -0.3678881 0 5.263987
5265 -0.3686803 0 5.264987
5266 -0.3694229 0 5.265986
5267 -0.3701192 0 5.266986
5268 -0.3707719 0 5.267986
5269 -0.3713838 0 5.268986
5270 -0.3719575 0 5.269986
5271 -0.3724954 0 5.270986
5272 -0.3729996 0 5.271986
5273 -0.3734723 0 5.272986
5274 -0.3739154 0 5.273986
5275 -0.3743309 0 5.274986
5276 -0.3747204 0 5.275986
5277 -0.3750855 0 5.276986
5278 -0.3754279 0 5.277986
5279 -0.3757488 0 5.278986
5280 -0.3760497 0 5.279985
5281 -0.3763317 0 5.280985
5282 -0.3765962 0 5.281985
5283 -0.3786073 0 5.282985
5284 -0.3804927 0 5.283985
5285 -0.3822602 0 5.284985
5286 -0.3839172 0 5.285985
5287 -0.3854708 0 5.286985
5288 -0.3869272 0 5.287985
5289 -0.3882926 0 5.288985
5290 -0.3895726 0 5.289985
5291 -0.3907727 0 5.290985
5292 -0.3918977 0 5.291985
5293 -0.3929524 0 5.292984
5294 -0.3939413 0 5.293984
5295 -0.3948683 0 5.294984
5296 -0.3957373 0 5.295984
5297 -0.3965521 0 5.296984
5298 -0.3973159 0 5.297984
5299 -0.398032 0 5.298984
5300 -0.3987033 0 5.299984
5301 -0.3993327 0 5.300984
5302 -0.3999228 0 5.301984
5303 -0.4021449 0 5.302984
5304 -0.4042281 0 5.303984
5305 -0.4061812 0 5.304984
5306 -0.4080122 0 5.305984
5307 -0.4097287 0 5.306983
5308 -0.411338 0 5.307983
5309 -0.4128467 0 5.308983
5310 -0.4142611 0 5.309983
5311 -0.4155871 0 5.310983
5312 -0.4168302 0 5.311983
5313 -0.4179956 0 5.312983
5314 -0.4190882 0 5.313983
5315 -0.4201125 0 5.314983
5316 -0.4210728 0 5.315983
5317 -0.421973 0 5.316983
5318 -0.422817 0 5.317983
5319 -0.4236082 0 5.318983
5320 -0.4243501 0 5.319983
5321 -0.4250455 0 5.320982
5322 -0.4256974 0 5.321982
5323 -0.427269 0 5.322982
5324 -0.4287423 0 5.323982
5325 -0.4301235 0 5.324982
5326 -0.4314184 0 5.325982
5327 -0.4326324 0 5.326982
5328 -0.4337705 0 5.327982
5329 -0.4348375 0 5.328982
5330 -0.4358377 0 5.329982
5331 -0.4367755 0 5.330982
5332 -0.4376547 0 5.331982
5333 -0.4384789 0 5.332982
5334 -0.4392516 0 5.333982
5335 -0.4399759 0 5.334981
5336 -0.4406551 0 5.335981
5337 -0.4412917 0 5.336981
5338 -0.4418887 0 5.337981
5339 -0.4424482 0 5.338981
5340 -0.4429728 0 5.339981
5341 -0.4434647 0 5.340981
5342 -0.4439257 0 5.341981
5343 -0.4455104 0 5.342981
5344 -0.446996 0 5.343981
5345 -0.4483888 0 5.344981
5346 -0.4496945 0 5.345981
5347 -0.4509186 0 5.346981
5348 -0.4520662 0 5.34798
5349 -0.453142 0 5.34898
5350 -0.4541506 0 5.34998
5351 -0.4550962 0 5.35098
5352 -0.4559827 0 5.35198
5353 -0.4568138 0 5.35298
5354 -0.457593 0 5.35398
5355 -0.4583234 0 5.35498
5356 -0.4590082 0 5.35598
5357 -0.4596502 0 5.35698
5358 -0.460252 0 5.35798
5359 -0.4608163 0 5.35898
5360 -0.4613453 0 5.35998
5361 -0.4618412 0 5.36098
5362 -0.4623061 0 5.361979
5363 -0.4639212 0 5.362979
5364 -0.4654354 0 5.363979
5365 -0.466855 0 5.364979
5366 -0.4681858 0 5.365979
5367 -0.4694334 0 5.366979
5368 -0.4706031 0 5.367979
5369 -0.4716997 0 5.368979
5370 -0.4727277 0 5.369979
5371 -0.4736915 0 5.370979
5372 -0.474595 0 5.371979
5373 -0.4754421 0 5.372979
5374 -0.4762362 0 5.373979
5375 -0.4769807 0 5.374979
5376 -0.4776787 0 5.375978
5377 -0.478333 0 5.376978
5378 -0.4789464 0 5.377978
5379 -0.4795216 0 5.378978
5380 -0.4800607 0 5.379978
5381 -0.4805662 0 5.380978
5382 -0.4810401 0 5.381978
5383 -0.4823812 0 5.382978
5384 -0.4836386 0 5.383978
5385 -0.4848173 0 5.384978
5386 -0.4859224 0 5.385978
5387 -0.4869584 0 5.386978
5388 -0.4879296 0 5.387978
5389 -0.4888402 0 5.388978
5390 -0.4896938 0 5.389977
5391 -0.4904941 0 5.390977
5392 -0.4912444 0 5.391977
5393 -0.4919478 0 5.392977
5394 -0.4926072 0 5.393977
5395 -0.4932254 0 5.394977
5396 -0.4938049 0 5.395977
5397 -0.4943483 0 5.396977
5398 -0.4948577 0 5.397977
5399 -0.4953353 0 5.398977
5400 -0.4957829 0 5.399977
5401 -0.4962026 0 5.400977
5402 -0.4965961 0 5.401977
5403 -0.4973505 0 5.402977
5404 -0.4980577 0 5.403976
5405 -0.4987207 0 5.404976
5406 -0.4993422 0 5.405976
5407 -0.499925 0 5.406976
5408 -0.5004713 0 5.407976
5409 -0.5009834 0 5.408976
5410 -0.5014635 0 5.409976
5411 -0.5019137 0 5.410976
5412 -0.5023357 0 5.411976
5413 -0.5027313 0 5.412976
5414 -0.5031022 0 5.413976
5415 -0.5034499 0 5.414976
5416 -0.5037759 0 5.415976
5417 -0.5040815 0 5.416975
5418 -0.5043681 0 5.417975
5419 -0.5046366 0 5.418975
5420 -0.5048885 0 5.419975
5421 -0.5051245 0 5.420975
5422 -0.5053459 0 5.421975
5423 -0.5062689 0 5.422975
5424 -0.5071343 0 5.423975
5425 -0.5079455 0 5.424975
5426 -0.508706 0 5.425975
5427 -0.5094191 0 5.426975
5428 -0.5100875 0 5.427975
5429 -0.5107142 0 5.428975
5430 -0.5113017 0 5.429975
5431 -0.5118525 0 5.430974
5432 -0.5123689 0 5.431974
5433 -0.512853 0 5.432974
5434 -0.5133068 0 5.433974
5435 -0.5137323 0 5.434974
5436 -0.5141311 0 5.435974
5437 -0.5145051 0 5.436974
5438 -0.5148557 0 5.437974
5439 -0.5151843 0 5.438974
5440 -0.5154924 0 5.439974
5441 -0.5157813 0 5.440974
5442 -0.5160521 0 5.441974
5443 -0.5166407 0 5.442974
5444 -0.5171924 0 5.443974
5445 -0.5177096 0 5.444973
5446 -0.5181945 0 5.445973
5447 -0.5186491 0 5.446973
5448 -0.5190753 0 5.447973
5449 -0.5194749 0 5.448973
5450 -0.5198494 0 5.449973
5451 -0.5202006 0 5.450973
5452 -0.5205298 0 5.451973
5453 -0.5208384 0 5.452973
5454 -0.5211278 0 5.453973
5455 -0.5213991 0 5.454973
5456 -0.5216534 0 5.455973
5457 -0.5218918 0 5.456973
5458 -0.5221153 0 5.457973
5459 -0.5223249 0 5.458972
5460 -0.5225214 0 5.459972
5461 -0.5227055 0 5.460972
5462 -0.5228782 0 5.461972
5463 -0.5226066 0 5.462972
5464 -0.5223519 0 5.463972
5465 -0.5221131 0 5.464972
5466 -0.5218894 0 5.465972
5467 -0.5216795 0 5.466972
5468 -0.5214828 0 5.467972
5469 -0.5212984 0 5.468972
5470 -0.5211256 0 5.469972
5471 -0.5209634 0 5.470972
5472 -0.5208115 0 5.471972
5473 -0.520669 0 5.472971
5474 -0.5205355 0 5.473971
5475 -0.5204102 0 5.474971
5476 -0.5202929 0 5.475971
5477 -0.5201828 0 5.476971
5478 -0.5200797 0 5.477971
5479 -0.5199829 0 5.478971
5480 -0.5198923 0 5.479971
5481 -0.5198073 0 5.480971
5482 -0.5197276 0 5.481971
5483 -0.5183469 0 5.482971
5484 -0.5170525 0 5.483971
5485 -0.515839 0 5.484971
5486 -0.5147014 0 5.48597
5487 -0.5136348 0 5.48697
5488 -0.5126349 0 5.48797
5489 -0.5116975 0 5.48897
5490 -0.5108187 0 5.48997
5491 -0.5099949 0 5.49097
